Rank,Name,Score
1280,武长赛区,yyw的粉丝们,'21.7207
1281,京津东赛区,爱举重的山羊,'21.8413
1282,粤港澳赛区,khun_gs,'21.9453
1283,粤港澳赛区,hw23542402,'22.596
1284,京津东赛区,hw77597494,'22.6289
1285,成渝赛区,hw69315740,'22.7221
1286,成渝赛区,hw76584796,'22.7358
1287,成渝赛区,给大佬递Java,'22.7391
1288,京津东赛区,hw44800925,'22.7515
1289,西北赛区,乘风破浪,'22.8216
1290,成渝赛区,hw86628830,'22.8842
1291,上合赛区,hw38508198,'22.93
1292,上合赛区,wjd1015,'23.1044
1293,京津东赛区,蛋黄长裙,'23.4917
1294,京津东赛区,hw30398852,'23.8998
1295,粤港澳赛区,菜鸡队,'24.0223
1296,京津东赛区,hw94871809,'24.0983
1297,上合赛区,hw76600538,'24.1495
1298,粤港澳赛区,咕噜咕噜茄,'24.2699
1299,杭厦赛区,喵哇种子,'25.093
1300,江山赛区,hw54830062,'25.1199
1301,上合赛区,hw07187489,'25.2078
1302,江山赛区,hw89346151,'25.276
1303,杭厦赛区,akina97,'25.3109
1304,粤港澳赛区,asda,'25.8878
1305,西北赛区,hw13922377,'25.922
1306,粤港澳赛区,aaa,'26.0716
1307,上合赛区,hw52876030,'26.1273
1308,杭厦赛区,杭厦酸菜鱼,'26.6875
1309,江山赛区,AKOgogogo,'27.0452
1310,江山赛区,857857857,'27.0561
1311,上合赛区,叫什么都一样,'27.1174
1312,西北赛区,tc2020,'27.249
1313,上合赛区,?循环转账让钱增多！,'27.5168
1314,西北赛区,蓝天,'27.7767
1315,上合赛区,learner_huawei,'28.9896
1316,上合赛区,Hello World,'29.2373
1317,杭厦赛区,Headbro,'29.2402
1318,上合赛区,hw26446003,'30.1314
1319,粤港澳赛区,wenym7,'30.1477
1320,上合赛区,yimuyang,'30.2008
1321,杭厦赛区,hw48743653,'30.5509
1322,杭厦赛区,uuuuu,'30.6905
1323,上合赛区,GGBond,'30.7578
1324,上合赛区,hw20651501,'30.7835
1325,武长赛区,三个臭皮匠,'30.9121
1326,西北赛区,hw810905,'31.1102
1327,上合赛区,lxhana,'31.7355
1328,西北赛区,DJW,'32.3489
1329,成渝赛区,神技大学法海,'33.0913
1330,京津东赛区,hw28749316,'33.1068
1331,上合赛区,今天是个好日子,'34.0149
1332,成渝赛区,hw22642051,'34.0849
1333,上合赛区,窃格瓦拉归来,'35.4839
1334,上合赛区,青春有我,'36.2055
1335,杭厦赛区,Goto,'36.35
1336,武长赛区,LI,'36.3529
1337,武长赛区,hw67740744,'36.79
1338,京津东赛区,AWSL,'36.8478
1339,武长赛区,TeemoGan,'37.1571
1340,成渝赛区,hw53266638,'37.4594
1341,西北赛区,hw21499804,'37.7306
1342,西北赛区,hw89686133,'38.1065
1343,上合赛区,hw46899021,'38.2554
1344,西北赛区,wenkei,'38.8795
1345,成渝赛区,一般通过，混个脸熟,'39.0429
1346,上合赛区,tkl0314,'39.5147
1347,杭厦赛区,hw55827523,'39.5384
1348,江山赛区,三相神,'39.8572
1349,杭厦赛区,hw93129234,'40.3079
1350,西北赛区,塞班,'40.4516
1351,上合赛区,hw41203133,'40.836
1352,杭厦赛区,hw63794692,'40.9195
1353,杭厦赛区,hw34499281,'41.0229
1354,武长赛区,What2,'41.149
1355,西北赛区,一个臭皮匠咋顶诸葛亮,'42.7877
1356,上合赛区,校霸,'42.9454
1357,京津东赛区,Yin_Cofer,'44.1345
1358,成渝赛区,COVET,'44.7011
1359,上合赛区,dragonx,'45.022
1360,江山赛区,Yin_Cofer,'45.5255
1361,上合赛区,hw80021605,'46.2883
1362,上合赛区,hw94741046,'46.4631
1363,西北赛区,wzpcc,'46.6827
1364,京津东赛区,zksar1990,'47.8018
1365,武长赛区,运筹优化小队,'47.9785
1366,成渝赛区,uestc_allen,'48.1719
1367,武长赛区,LINRUIHANG,'48.443
1368,成渝赛区,hw95451504,'48.4923
1369,成渝赛区,Flaming,'48.5039
1370,上合赛区,hw06725283,'48.5517
1371,成渝赛区,就当是个队名,'48.5643
1372,上合赛区,摸鱼我最强,'48.7816
1373,杭厦赛区,hdjsjysx,'49.0406
1374,武长赛区,海底捞,'49.2505
1375,京津东赛区,hw06725283,'49.3819
1376,上合赛区,hw94891551,'50.3885
1377,江山赛区,hw59912795,'52.6288
1378,杭厦赛区,hw73509740,'52.6668
1379,上合赛区,hw86564899,'52.969
1380,成渝赛区,渴望进华为,'54.9785
1381,江山赛区,许你一片星河,'56.5974
1382,西北赛区,aware,'57.6816
1383,杭厦赛区,jiang_yue_ye,'58.4195
1384,京津东赛区,大神我只扶姚顺雨,'58.6639
1385,西北赛区,hw15477201,'59.2641
1386,江山赛区,hw28401209,'61.7516
1387,武长赛区,hw13935125,'62.3785
1388,西北赛区,hw50570008,'62.3958
1389,杭厦赛区,三个男人,'63.6431
1390,京津东赛区,test,'63.912
1391,杭厦赛区,statham,'63.9767
1392,京津东赛区,hw39601904,'64.0111
1393,上合赛区,加香菜不要洋葱,'64.2696
1394,京津东赛区,bbp123,'64.5546
1395,上合赛区,咸鱼突刺,'65.3439
1396,西北赛区,hw11168891,'65.6097
1397,江山赛区,Coding,'65.8047
1398,粤港澳赛区,hw37590416,'66.5604
1399,江山赛区,zheyday,'66.6735
1400,杭厦赛区,hw15480983,'66.6874
1401,京津东赛区,USTB208,'66.6999
1402,西北赛区,xdai125,'66.7635
1403,江山赛区,楼上莫赶楼下莫追,'66.855
1404,西北赛区,hw91239333,'67.1641
1405,西北赛区,caoyue1995,'67.1995
1406,上合赛区,lnstrument,'67.2562
1407,西北赛区,flyhema,'67.3649
1408,杭厦赛区,濮竹01,'67.5085
1409,西北赛区,hw16282285,'67.5143
1410,江山赛区,姐妹！,'67.5653
1411,上合赛区,hw59297799,'68.264
1412,杭厦赛区,HXY,'68.88
1413,京津东赛区,BUPT_CODERS,'69.0106
1414,成渝赛区,hw94105119,'72.1096
1415,成渝赛区,比利&&奥利(随时退赛小队),'72.631
1416,上合赛区,Yin_Cofer,'72.9041
1417,成渝赛区,thth,'75.7587
1418,京津东赛区,CAU-fighter,'78.0013
1419,成渝赛区,siyecaoK1,'78.2232
1420,上合赛区,煲二蒸一,'81.0626
1421,成渝赛区,sunxiangjun,'81.1384
1422,江山赛区,只想当32,'81.4469
1423,京津东赛区,hw17257923,'81.455
1424,京津东赛区,一只小弱鸡,'81.626
1425,上合赛区,我们是锵锵锵锵锵锵锵,'81.8632
1426,杭厦赛区,杭电戏组,'82.1397
1427,江山赛区,xiaoxiaochengji,'82.3531
1428,西北赛区,zk2020,'85.4411
1429,西北赛区,hw17499964,'86.4108
1430,成渝赛区,hw42134451,'86.5058
1431,上合赛区,hw30869789,'87.0942
1432,上合赛区,PCA-USTC,'88.9503
1433,江山赛区,hw24946673,'89.6042
1434,粤港澳赛区,hw35184732,'90.7484
1435,上合赛区,独墅湖赛艇,'90.8206
1436,西北赛区,西大楼独立团,'91.6643
1437,江山赛区,123,'93.3814
1438,西北赛区,枣子姐永远滴神,'93.7199
1439,武长赛区,HannahJudy,'94.3605
1440,上合赛区,hw90814215,'95.8476
1441,上合赛区,codeZH,'97.7582
1442,京津东赛区,您还未组建团队,'97.9333
1443,杭厦赛区,hw76963048,'97.9473
1444,京津东赛区,sunxiangjun,'101.2813
1445,西北赛区,hw70650412,'102.8109
1446,武长赛区,hw76471907,'105.4152
1447,西北赛区,hw83479962,'110.176
1448,成渝赛区,hw30040117,'113.6553
1449,上合赛区,woshixuanzi,'116.6509
1450,京津东赛区,帆帆,'126.2023
1451,京津东赛区,hw40813450,'127.0802
1452,江山赛区,forzore,'128.253
1453,成渝赛区,假装123,'128.5916
1454,西北赛区,西大楼小队,'135.4314
1455,成渝赛区,hw34065548,'141.8849
1456,粤港澳赛区,Recorder1994,'142.7623
1457,成渝赛区,hw14008378,'142.9412
1458,成渝赛区,lxf1236,'162.4562
1459,京津东赛区,hw19702906,'166.5505
1460,杭厦赛区,sunxiangjun,'167.6327
1461,成渝赛区,Saturday,'179.9869
1462,西北赛区,hw30186372,'188.5732
1463,杭厦赛区,濮竹,'197.8307
1464,西北赛区,卡提诺,'199.8272
1465,江山赛区,bb,'203.9135
1466,武长赛区,柠可有你,'219.3642
1467,杭厦赛区,三个酱油瓶,'220.9808
1468,上合赛区,盛老师很牛,'227.6729
1469,西北赛区,打酱油的,'236.3974
1470,京津东赛区,头柱·炭治郎,'239.4557
1471,杭厦赛区,淡黄的长裙蓬松的头发,'254.9071
1472,京津东赛区,胖胖和另一个壮壮,'257.3089
1473,西北赛区,python真难,'257.4589
1474,上合赛区,ARDAER,'261.2922
1475,江山赛区,代码你要学会自动优化啊,'262.4972
1476,京津东赛区,hw16786056,'275.695
1477,西北赛区,橙子不怕天虎队,'282.8557
1478,杭厦赛区,bugmakerrr,'283.5807
1479,海外赛区,hw02849838,'291.6643
1480,西北赛区,双叶天下第一,'294.463
1481,西北赛区,hw44478371,'304.3437
1482,上合赛区,HumPeriod,'317.909
1483,西北赛区,htyhhh,'330.5728
1484,西北赛区,阿破克列,'347.4758
1485,武长赛区,115,'352.1661
1486,上合赛区,knockknock,'392.1737
1487,西北赛区,625A,'411.1497
1488,粤港澳赛区,lidawen,'546.601
1489,杭厦赛区,hw34514705,'548.9209
1490,粤港澳赛区,hw86508928,'667.6125
1491,成渝赛区,hw25170450,'685.9189
1492,西北赛区,Jeason666,'686.1679
1493,西北赛区,carelmo,'688.1418
1494,上合赛区,hw44130554,'688.6488
1495,西北赛区,hw31609485,'688.9979
1496,西北赛区,hw92635520,'698.7208
1497,西北赛区,没有人关心阿宅心里想什么,'968.4019
1498,成渝赛区,无限,'980.1345
1499,成渝赛区,hw17885387,'1048.0831
1500,西北赛区,woshimijue,'1144.0891
